MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
3223.0,,5390.809809,2252.471587
3223.5,,5480.191827,2215.918583
3224.0,,5285.238979,2241.996634
3224.5,,5411.411344,2250.654201
3225.0,,5527.204658,2225.412919
3225.5,,5538.22453,2266.462838
3226.0,,5635.819742,2271.515106
3226.5,,5523.026838,2261.616013
3227.0,,5552.201168,2242.831787
3227.5,,6005.59532,2233.440313
3228.0,,5863.775748,2266.942028
3228.5,,5395.14962,2218.30327
3229.0,,5437.890668,2188.607537
3229.5,,5320.742788,2205.053455
3230.0,,5695.63363,2237.064846
3230.5,,5226.297729,2222.762314
3231.0,,5268.367542,2250.417394
3231.5,,5539.886985,2290.139506
3232.0,,5342.902338,2274.813788
3232.5,,5765.288819,2287.728148
3233.0,,5262.433504,
3233.5,,5453.95717,2265.997947
3234.0,,5397.318881,2256.027626
3234.5,,5344.190988,2269.940609
3235.0,,5201.87096,2282.406588
3235.5,,5253.347906,2274.892838
3236.0,,5626.857501,2287.939801
3236.5,,5128.942541,2253.932199
3237.0,,5800.30673,2235.277581
3237.5,,5335.063652,2279.431752
3238.0,,5365.863457,2257.715544
3238.5,,5275.172608,2232.97782
3239.0,,5418.727222,2194.584742
3239.5,,5512.452953,2239.998936
3240.0,,5356.309515,2231.161684
3240.5,,5518.033543,2287.173457
3241.0,,5377.029488,2232.192615
3241.5,,5314.857755,2291.46976
3242.0,,5318.994878,2245.869969
3242.5,,5181.719235,2277.442039
3243.0,,5348.171595,2293.479458
3243.5,,5136.313105,2222.416436
3244.0,,5181.583258,2221.353536
3244.5,,5472.168714,2208.783607
3245.0,,5379.070278,2235.779055
3245.5,,5336.705236,2234.803134
3246.0,,5294.471831,2224.566831
3246.5,,5277.219574,2254.251098
3247.0,,5333.813122,2270.097155
3247.5,,5364.207464,2287.72905
3248.0,,5042.029645,2276.92521
3248.5,,5715.90497,2250.468273
3249.0,,5683.541528,2304.278055
3249.5,,5573.767797,2307.331179
3250.0,,5309.699611,2300.527281
3250.5,,5846.632677,
3251.0,,5639.708813,2306.924514
3251.5,,5505.983033,2288.141015
3252.0,,5746.58873,
3252.5,,5847.417289,2290.227253
3253.0,,5556.609684,2270.134199
3253.5,,5501.747467,2268.520641
3254.0,,5667.651593,2285.593666
3254.5,,5345.605152,2271.289716
3255.0,,5513.759457,2270.063319
3255.5,,5505.648111,2276.969995
3256.0,,6226.161392,2305.904846
3256.5,,5587.888562,
3257.0,,5623.747105,2305.023301
3257.5,,5524.144411,
3258.0,,5235.122518,
3258.5,,5388.63179,
3259.0,,5423.530069,2294.787638
3259.5,,5632.506954,2300.515436
3260.0,,5163.11855,2285.68453
3260.5,,5073.622234,2248.206381
3261.0,,5302.429578,2263.563065
3261.5,,5475.940048,2274.796028
3262.0,,4423.226875,
3262.5,,5195.406428,
3263.0,,5250.590075,
3263.5,,5339.197323,
3264.0,,5717.931029,
3264.5,,5419.272741,
3265.0,,5284.750167,2306.402091
3265.5,,5476.761491,2305.218534
3266.0,,5805.612092,
3266.5,,5648.174141,
3267.0,,5620.466655,
3267.5,,5722.021759,
3268.0,,5222.146529,
3268.5,,5487.079435,2322.327353
3269.0,,5585.309716,
3269.5,,5535.205281,2302.280535
3270.0,,5410.466182,2254.248243
3270.5,,5482.471295,2284.224934
3271.0,,5825.432053,2313.787786
3271.5,,5640.099659,2316.535959
3272.0,,5604.078754,2275.958022
3272.5,,5630.877889,2308.865437
3273.0,,5832.30569,2312.622985
3273.5,,5155.561642,2309.420388
3274.0,,5671.454597,
3274.5,,5697.739148,
3275.0,,5562.550432,2303.249782
3275.5,,5792.171852,2290.404594
3276.0,,5659.64192,2319.252548
3276.5,,5724.659661,2323.218991
3277.0,,6288.909948,2319.698101
3277.5,,5798.82636,2322.897826
3278.0,,5856.450487,
3278.5,,5958.640992,2309.346433
3279.0,,6054.194807,2306.896861
3279.5,,5835.411247,2334.666791
3280.0,,5860.609207,
3280.5,,5481.092265,
3281.0,,5357.387014,
3281.5,,5515.688194,2324.835933
3282.0,,5792.973013,2285.424667
3282.5,,5757.215865,2325.066785
3283.0,,5536.728707,
3283.5,,5540.151133,
3284.0,,5203.070642,
3284.5,,5505.685562,
3285.0,,5603.793696,
3285.5,,5337.996532,2306.962271
3286.0,,5349.924454,2315.378092
3286.5,,5724.430771,
3287.0,,5212.715258,
3287.5,,5141.749101,2325.789535
3288.0,,5207.211583,2340.419822
