MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi),Torque(klb-ft)
3283.5,,4010.809674,1551.163839,
3284,104.868640,3946.923468,1558.301972,944.193950
3284.5,104.853888,3916.207366,1522.661051,875.493680
3285,104.662210,4136.742151,1570.875498,771.577604
3285.5,,2851.172657,1506.163430,
3286,,2325.153525,1475.289902,
3287.5,,834.049668,1301.666061,
3288,,1100.037088,1307.431056,
3288.5,,1672.092931,1353.501458,
3289,,1811.547962,1368.185348,
3289.5,,1779.993423,1364.603589,
3290,,1603.343088,1371.704417,
3290.5,,1244.117842,1381.716373,
3291,,1200.687939,1371.591856,
3291.5,,1217.396199,1366.229527,
3292,,1456.646979,1379.407550,
3292.5,,1368.842574,1361.789205,
3293,,1378.014284,1351.900280,
3293.5,,1343.169984,1352.331025,
3294,,1352.051048,1354.822881,
3294.5,,1171.771735,1332.477252,
3295,,1008.125662,1313.423772,
3295.5,,1098.475336,1324.932076,
3296,,1230.929159,1338.168039,
3296.5,,1151.646454,1336.874650,
3297,,1466.723409,1391.564745,
3297.5,,1485.209851,1404.283237,
3298,,1628.917263,1398.456046,
3298.5,,1622.639233,1396.811590,
3299,,1448.581655,1374.787373,
3299.5,,1471.600279,1364.157133,
3300,,1445.020780,1362.184280,
3300.5,,1448.998249,1365.324890,
3301,,1377.345381,1362.088953,
3301.5,,1406.813527,1361.636570,
3302,,1360.890702,1363.605508,
3302.5,,1368.312658,1365.358889,
3303,,1337.788671,1354.922968,
3303.5,,1330.616450,1355.442640,
3304,,1378.351326,1366.570939,
3304.5,,1449.077775,1375.492761,
3305,,1317.114357,1363.863377,
3305.5,,1256.511693,1362.874919,
3306,,1226.904254,1360.374794,
3306.5,,1205.311687,1357.004105,
3307,,1212.414341,1355.844260,
3307.5,,1273.120093,1357.251051,
3308,,1246.973858,1356.842097,
3308.5,,1296.788283,1354.077943,
3309,,1316.758630,1357.602129,
3309.5,121.400000,1205.940169,1350.537283,790.900000
3310,112.200405,1282.171771,1351.368732,2054.953814
3310.5,111.051316,1317.299974,1356.472274,2199.190321
3311,110.664279,1338.959686,1365.820739,2065.691532
3311.5,110.979369,1328.530043,1346.548392,2108.559221
3312,110.637648,1637.493701,1313.837145,2085.446357
3312.5,,2608.435955,1359.039064,
3313,,2265.502827,1318.432047,
3313.5,,3138.633456,1333.080596,
3314,,4217.494112,1499.786375,
3314.5,,4912.229992,1553.207309,
3315,,4785.293470,1530.746011,
3315.5,,4256.922634,1530.872493,
3316,,4296.133176,1494.227926,
3316.5,,4106.239139,1507.952105,
3317,,4007.214348,1506.701313,
3317.5,,4271.137760,1505.997439,
3318,,4152.909956,1524.263567,
3318.5,,4388.284896,1521.497635,
3319,,4347.965472,1522.873031,
3319.5,,4591.543806,1522.969287,
3320,,4651.717386,1555.615969,
3320.5,,4934.281775,1554.065179,
3321,,4812.538846,1577.440062,
3321.5,,4742.798325,1557.437490,
3322,,4477.360812,1552.932712,
3322.5,,4532.581836,1558.973154,
3323,,4313.512235,1560.310599,
3323.5,,4528.079066,1559.636799,
3324,,4532.843747,1570.178941,
3324.5,,4348.223742,1558.847399,
3325,,4333.715227,1547.746025,
3325.5,,4176.473609,1532.698485,
3326,,4388.319435,1519.596600,
3326.5,,4565.315194,1544.538970,
3327,,4477.977036,1544.865994,
3327.5,,4662.168357,1555.523507,
3328,,5024.698872,1595.442233,
3328.5,,4962.975349,1596.364489,
3329,,4905.600791,1601.166704,
3329.5,,4474.680924,1581.147702,
3330,,4452.161421,1566.667757,
3330.5,,4538.704936,1555.143045,
3331,,4525.628628,1549.329145,
3331.5,,4623.062991,1559.364218,
3332,,4555.774070,1556.391250,
3332.5,,4629.333720,1558.885667,
3333,,4496.504657,1552.827917,
3333.5,,4538.319649,1548.929714,
3334,,4642.233169,1551.382428,
3334.5,,4480.594675,1552.550704,
3335,,4682.485755,1540.657573,
3335.5,,4598.113704,1549.575866,
3336,,4853.800498,1554.651664,
3336.5,,4319.869265,1549.908185,
3337,,4703.101056,1551.065721,
3337.5,,4193.194885,1551.548176,
3338,,4344.223765,1552.887508,
3338.5,,4432.195644,1554.004536,
3339,,4347.717451,1550.202005,
3339.5,,4539.930237,1551.540689,
3340,,4356.912313,1552.724502,
3340.5,,4622.119917,1534.206887,
3341,,4136.561982,1554.873863,
3341.5,,4408.194327,1538.075520,
3342,,4238.549528,1557.526330,
3342.5,,4466.022915,1544.706641,
3343,,4271.011413,1545.971062,
3343.5,,4364.943522,1543.109393,
3344,,4109.218371,1546.199941,
3344.5,,4642.897097,1543.821245,
3345,,4335.060965,1546.230861,
3345.5,,4174.155316,1539.321613,
3346,,4069.324100,1525.801538,
3346.5,,3888.612133,1523.737598,
3347,,4289.349368,1509.667229,
3347.5,,3940.036220,1521.395241,
3348,,3968.601602,1514.086982,
3348.5,,4209.980613,1510.794776,
3349,,4118.727416,1513.565020,
3349.5,,3853.067851,1523.130877,
3350,,4066.754630,1526.833745,
3350.5,,4232.422070,1524.999188,
3351,,3871.965058,1521.677471,
3351.5,,4031.637791,1516.775425,
3352,,4043.745889,1523.434486,
3352.5,,3740.965627,1529.646988,
3353,,3964.245399,1518.274126,
3353.5,,4132.365366,1526.756560,
3354,,4301.988799,1520.849718,
3354.5,,3864.768174,1521.958581,
3355,,3842.803788,1517.187963,
3355.5,,3813.994213,1504.896349,
3356,,3880.817933,1510.543203,
3356.5,,3352.663711,1496.188192,
3357,,3599.922365,1468.047803,
3357.5,,4068.420976,1515.086067,
3358,,3654.002452,1508.245937,
3358.5,,3807.093968,1505.425228,
3359,,4193.067550,1530.435799,
3359.5,,4094.911624,1518.320284,
3360,,4263.724817,1565.505692,
3360.5,,4642.975493,1588.725122,
3361,,4469.010893,1583.072758,
3361.5,,3770.632409,1530.383096,
3362,,3594.319506,1495.110177,
3362.5,,3544.984124,1493.139465,
3363,,3592.904481,1497.961764,
3363.5,,3348.585733,1492.011346,
3364,,3539.747963,1489.622910,
3364.5,,3679.541085,1504.271292,
3365,,3633.252475,1500.842786,
3365.5,,3505.790103,1502.726669,
3366,,4027.200529,1515.556248,
3366.5,,4241.751131,1537.816227,
3367,,4017.609234,1562.739271,
3367.5,,3992.119687,1552.663434,
3368,,3862.384835,1520.764326,
3368.5,,2730.046419,1430.879267,
3369,,3700.925751,1423.736461,
3369.5,,3488.933341,1484.304978,
3370,,3652.509036,1501.784841,
3370.5,,3434.312855,1507.493266,
3371,,3793.869359,1521.485300,
3371.5,,3903.127444,1516.269042,
3372,,3894.071480,1516.924332,
3372.5,,3902.423271,1515.501664,
3373,,3823.205332,1512.145869,
3373.5,,4061.713725,1527.883393,
3374,,4252.061166,1563.511354,
3374.5,,4076.433025,1532.865246,
3375,,3876.157582,1522.603514,
3375.5,,3760.125303,1517.898872,
3376,,3722.656098,1518.291537,
3376.5,,3980.874994,1533.095967,
3377,,4158.951548,1529.328828,
3377.5,,3688.181635,1504.197930,
3378,48.483386,3866.077943,1508.487618,2142.272755
3378.5,48.795365,3497.249035,1502.893495,2153.555593
3379,101.947051,3571.541351,1502.937923,1749.851813
3379.5,108.111650,1953.220162,1364.858637,2136.142060
3380,107.149902,2817.523931,1558.968578,2377.480656
3380.5,,4275.313398,1887.267815,
3381,,4286.480000,1896.780000,
3381.5,,3230.600000,1894.300000,
3382,,2656.501202,1801.881032,
3382.5,,3210.522841,1780.956629,
3383,,4050.303896,1871.105720,
3383.5,,4668.023696,1943.429310,
3384,,4383.893780,1915.559159,
3384.5,,3807.680546,1936.441105,
3385,,3423.339323,1897.843072,
3385.5,,3950.313943,1910.729356,
3386,,3833.840047,1910.695666,
3386.5,,4128.035975,1932.111656,
3387,,4570.561934,1984.692407,
3387.5,,4483.735458,1991.729586,
3388,,4939.610165,2004.167513,
3388.5,,4145.362725,1970.142425,
3389,,3831.722499,1903.084973,
3389.5,,3925.138931,1910.193100,
3390,,4527.039792,1908.650878,
3390.5,,4263.609356,1950.951234,
3391,,4787.592284,1973.605708,
3391.5,,4424.500269,1972.994078,
3392,,4216.461741,1988.623286,
3392.5,,4145.046554,1967.625161,
3393,,3899.637058,1955.662786,
3393.5,,3840.187957,1960.053124,
3394,,4206.970431,1976.827794,
3394.5,,4235.923293,1980.969213,
3395,,4191.504135,1995.882223,
3395.5,,4129.442877,1969.612198,
3396,,4270.265660,1959.241852,
3396.5,,3654.062719,1951.260860,
3397,,4021.867294,1965.077541,
3397.5,,4722.422302,1960.296845,
3398,,4818.834399,2017.396878,
3398.5,,4560.742896,1965.211030,
3399,,4350.336662,2003.518427,
3399.5,,3958.832795,1952.269026,
3400,,4192.485059,1952.657662,
3400.5,,3980.793474,1931.023625,
3401,,4250.619726,1963.185585,
3401.5,,3862.595575,1962.768562,
3402,,4120.681243,1982.368510,
3402.5,,4398.878177,1970.066995,
3403,,4942.461391,2001.633140,
3403.5,,4815.546085,1998.685941,
3404,,4787.703321,2019.198517,
3404.5,,4239.611118,1972.201508,
3405,,4169.352175,1977.723208,
3405.5,,4912.506398,1992.672036,
3406,,4536.368211,1993.630380,
3406.5,,4646.125099,2004.139774,
3407,,4184.936644,1960.279520,
3407.5,,3678.374788,1928.345147,
3408,,3455.403849,1844.233153,
3408.5,,4184.277153,1935.768823,
3409,,4216.861137,1956.400805,
3409.5,,4285.448694,2000.631047,
3410,,3822.406259,1937.621475,
3410.5,,4002.565353,1950.070729,
3411,,3449.276610,1829.396126,
3411.5,,2782.938076,1802.531349,
3412,,3209.923691,1775.932909,
3412.5,,4371.619171,1897.017724,
3413,,3965.830588,1952.392570,
3413.5,,3628.482389,1894.211896,
3414,,4436.079600,1888.327391,
3414.5,,4672.396106,1952.942141,
3415,,5248.507645,2019.566512,
3415.5,,4668.584734,1987.882638,
3416,,4593.202593,2026.791852,
3416.5,,4273.119248,1972.475486,
3417,,4255.376402,1972.806877,
3417.5,,4194.987242,1949.124464,
3418,,4593.940370,1961.268366,
3418.5,,4574.377085,1964.486951,
3419,,3830.932966,1957.208848,
3419.5,,4252.677545,1942.975924,
3420,,4363.060461,1960.607182,
3420.5,,4720.328048,2005.388849,
3421,,4746.530567,2011.209228,
3421.5,,4561.281262,2008.462546,
3422,,4429.003433,1995.372173,
3422.5,,4402.106832,1988.538790,
3423,,4361.329107,1959.092390,
3423.5,,4366.447266,1967.674687,
3424,,4486.747436,1971.598745,
3424.5,,3892.745552,1965.195295,
3425,,4684.303159,1988.372367,
3425.5,,4389.303615,2001.569358,
3426,,4373.191771,2006.456738,
3426.5,,4324.409798,1984.980789,
3427,,3986.695167,1950.481856,
3427.5,,4235.683006,1988.352251,
3428,,4677.379720,1984.930643,
3428.5,,4385.966038,2015.996805,
3429,,4174.221687,1982.424994,
3429.5,,4040.848483,1982.695799,
3430,,4206.570457,1987.995160,
3430.5,,3932.485181,1987.933259,
